Pipeline,Modell,CV_R2_Mittel,CV_R2_Std
C_Interakt,Ridge,0.7144,0.0446
C_Interakt,LinearRegression,0.7141,0.0444
C_Interakt,Lasso,0.7098,0.0449
A_Basis,RandomForest,0.6991,0.0703
C_Interakt,RandomForest,0.6873,0.077
B_FeatEng,RandomForest,0.6869,0.0727
C_Interakt,kNN,0.6446,0.0561
B_FeatEng,DecisionTree,0.5655,0.1651
A_Basis,DecisionTree,0.5615,0.1614
C_Interakt,DecisionTree,0.5493,0.199
A_Basis,kNN,0.5371,0.1165
B_FeatEng,kNN,0.4701,0.1022
A_Basis,Ridge,0.3387,0.113
A_Basis,LinearRegression,0.3385,0.1132
A_Basis,Lasso,0.3343,0.1014
B_FeatEng,Ridge,0.3222,0.0577
B_FeatEng,LinearRegression,0.3222,0.0576
B_FeatEng,Lasso,0.3174,0.0516
